Player,Tm,Pos,FG%,FT%,3P%,PTS
Mike Macaluso,BUF,SF,0.432,0.588,0,48
Ted Manakas,KCO,SG,0.4,1,0,12
Vester Marshall,SEA,SF,0.241,0.429,0,17
Allie McGuire,NYK,SG,0.5,0,0,4
Larry McNeill,KCO,PF,0.4373,0.8172,0,314
Gary Melchionni,PHO,PG,0.445,0.8345,0,537
Louie Nelson,CAP,SG,0.407286,0.707857,0,334
Jim Owens,PHO,SF,0.462,0.768,0,88
Ed Ratleff,HOU,SF,0.4468,0.7778,0,562
Joe Reaves,PHO,SF,0.545,0.364,0,16
Mark Sibley,POR,SG,0.357,0.857,0,46
Bob Verga,POR,SG,0.452,0.625,0,104
Kermit Washington,LAL,PF,0.497417,0.675917,0,444
Slick Watts,SEA,PG,0.405,0.5985,0,553
Nick Weatherspoon,CAP,SF,0.440667,0.704333,0,533
Luke Witte,CLE,C,0.373333,0.651667,0,124
Dan Anderson,POR,SG,0.467,0.8515,0,173
Jim Ard,BOS,C,0.341333,0.643333,0,131
Gus Bailey,HOU,SG,0.3872,0.385,0.2,77
Leon Benbow,CHI,SG,0.3845,0.7915,0,314
Ken Boyd,NOJ,SF,0.538,0.455,0,19
Gary Brokaw,MIL,SG,0.438,0.725333,0,429
Tom Burleson,SEA,C,0.427571,0.677286,0,598
Harvey Catchings,PHI,C,0.441231,0.661,0,199
Jim Chones,CLE,C,0.466875,0.712875,0,958
Ben Clyde,BOS,SF,0.431,0.778,0,69
Jesse Dark,NYK,SG,0.471,0.55,0,170
Rod Derline,SEA,SG,0.4155,0.786,0,259
John Drew,ATL,PF,0.466364,0.75,0.0550909,1390
Dennis DuVal,WSB,PG,0.359,0.667,0,48
Al Eberhard,DET,SF,0.42475,0.7765,0,372
Leonard Gray,SEA,PF,0.454,0.7418,0,608
Bernie Harris,BUF,PF,0.182,0.5,0,5
Steve Hawes,HOU,C,0.469714,0.716214,0.148929,475
Tom Henderson,ATL,PG,0.438545,0.747273,0,642
Greg Jackson,TOT,SG,0.410333,0.387333,0,121
Wardell Jackson,SEA,SF,0.397,0.718,0,243
Aaron James,NOJ,SF,0.4798,0.7608,0,765
Mickey Johnson,CHI,PF,0.4448,0.792533,0.0892667,923
Jimmy Jones,WSB,PG,0.412333,0.663667,0,300
Frank Kendrick,GSW,SF,0.403,0.818,0,80
Len Kosmalski,KCO,C,0.399,0.6995,0,55
Bill Ligon,DET,SG,0.385,0.64,0,126
Phil Lumpkin,POR,PG,0.3955,0.818,0,136
Glenn McDonald,BOS,SF,0.346333,0.740333,0,203
Eric Money,DET,SG,0.4869,0.7654,0,689
Connie Norman,PHI,SG,0.462333,0.775333,0,198
Kevin Restani,MIL,PF,0.44525,0.622583,0.0455833,301
Truck Robinson,WSB,PF,0.478867,0.619667,0.0666667,993
Campy Russell,CLE,SF,0.436667,0.757778,0.0953333,994
Fred Saunders,PHO,SF,0.428833,0.679667,0,221
Tal Skinner,SEA,SF,0.436,0.631,0,330
Don Smith,PHI,SG,0.408,1,0,283
Phil Smith,GSW,SG,0.469364,0.767727,0.118909,979
Mike Sojourner,ATL,C,0.476333,0.680667,0,552
Kevin Stacom,BOS,SG,0.4085,0.731625,0.0625,260
George Thompson,MIL,SG,0.443,0.785,0,780
Dean Tolson,SEA,PF,0.332667,0.394,0,134
Foots Walker,CLE,PG,0.4259,0.7728,0.1233,419
Bill Walton*,POR,C,0.5089,0.6358,0,621
Perry Warbington,PHI,PG,0.19,1,0,10
Stan Washington,WSB,SG,0,0,0,0
Scott Wedman,KCO,SF,0.4664,0.76,0.212667,850
Owen Wells,HOU,SF,0.42,0.682,0,99
Jamaal Wilkes*,GSW,SF,0.487083,0.763,0.0696667,1220
Earl Williams,PHO,C,0.33325,0.505,0,166
Bobby Wilson,CHI,SG,0.40625,0.76175,0,198
Brian Winters,LAL,SG,0.472222,0.841556,0.159667,1170
Alvan Adams,PHO,C,0.498308,0.793538,0.0640769,1070
Jerome Anderson,BOS,SG,0.4985,0.694,0,63
Jerry Baskerville,PHI,SF,0.308,0.625,0,26
Bob Bigelow,KCK,SF,0.466333,0.371333,0,40
Tom Boswell,BOS,PF,0.52675,0.72775,0.3125,465
Junior Bridgeman,MIL,SF,0.4725,0.84375,0.1585,959
Joe Bryant,PHI,PF,0.447125,0.737375,0.096125,656
Al Carlson,SEA,C,0.342,0.621,0,72
Jim Creighton,ATL,SF,0.279,0.438,0,31
Darryl Dawkins,PHI,C,0.517437,0.605938,0.025,546
Henry Dickerson,DET,SG,0.405,0.625,0,22
Eric Fernsten,TOT,C,0.3585,0.600375,0,76
Larry Fogle,NYK,SG,0.2,0,0,2
Don Ford,LAL,SF,0.459444,0.814333,0.0925556,369
World B.,PHI,SG,0.443933,0.746067,0.196533,1313
Donnie Freeman,LAL,SG,0.434,0.819,0,689
Kevin Grevey,WSB,SF,0.4286,0.8183,0.1962,736
Bob Gross,POR,SF,0.501625,0.775625,0.116625,570
Lindsay Hairston,DET,SF,0.456,0.58,0,273
Glenn Hansen,KCK,SG,0.1688,0.289,0,117
Robert Hawkins,GSW,SG,0.448,0.79875,0,328
Wilbur Holland,ATL,SG,0.44225,0.7675,0,940
Lionel Hollins,POR,PG,0.4315,0.743167,0.0901667,694
Steve Jones,POR,SG,0.442,0.83,0,414
Rich Kelley,NOJ,C,0.484533,0.785667,0,486
Tom Kropp,WSB,SG,0.3565,0.758,0,96
C.J. Kupec,LAL,SF,0.374333,0.742,0,202
John Lambert,CLE,PF,0.444818,0.667909,0.0281818,186
John Laskowski,CHI,SG,0.383,0.8125,0,416
Greg Lee,POR,PG,0.5,1,0,6
Clyde Mayes,MIL,PF,0.2748,0.3846,0,62
Ken Mayfield,NYK,SG,0.37,1,0,37
Jim McElroy,NOJ,PG,0.446667,0.766333,0.118111,523
George McGinnis,PHI,PF,0.442778,0.606889,0.0445556,1129
Tom McMillen,BUF,C,0.480385,0.795769,0.0513077,504
Joe Meriweather,HOU,C,0.505833,0.69225,0.0416667,504
Dave Meyers,MIL,PF,0.457,0.665,0.05,787
Frank Oleynick,SEA,SG,0.3825,0.712,0,254
Cliff Pondexter,CHI,PF,0.420667,0.672,0,259
Bill Robinzine,KCK,PF,0.471889,0.742667,0.0926667,727
John Roche,LAL,SG,0.40075,0.714,0.28875,339
Bruce Seals,SEA,SF,0.432333,0.673333,0,807
Ed Searcy,BOS,SF,0.333,1,0,6
Gene Short,TOT,SF,0.407333,0.586,0,56
John Shumate,TOT,PF,0.477571,0.717929,0,480
Ricky Sobers,PHO,SG,0.457182,0.843182,0.189455,991
Terry Thomas,DET,PF,0.431,0.724,0,77
Rudy White,HOU,SG,0.416286,0.817429,0,63
Gus Williams,GSW,PG,0.451091,0.748909,0.132091,1281
Bill Willoughby,ATL,SF,0.4566,0.7821,0.1431,327
Tom Abernethy,LAL,SF,0.452,0.691286,0,263
Bird Averitt,BUF,SG,0.3975,0.723,0,395
Tom Barker,ATL,C,0.4444,0.7692,0,160
Marvin Barnes,DET,PF,0.4375,0.627,0,375
Norton Barnhill,SEA,SG,0.333,0,0,4
Mike Barr,KCK,SG,0.437,0.719,0,285
Tim Bassett,NYN,PF,0.3675,0.627667,0,237
Byron Beck,DEN,PF,0.435,0.818,0,250
Mel Bennett,IND,PF,0.39025,0.5105,0,124
Ron Boone,KCK,SG,0.434714,0.857857,0.148857,898
Quinn Buckner,MIL,PG,0.4521,0.6564,0.0834,592
Ticky Burden,NYK,SG,0.46,0.3,0,174
Don Buse,IND,PG,0.432222,0.785667,0.208111,498
Mack Calvin,TOT,PG,0.397714,0.835714,0.0415714,325
M.L. Carr,DET,SF,0.452444,0.785444,0.156333,650
Cornelius Cash,DET,PF,0.391,0.5,0,21
Norm Cook,BOS,SF,0.354,0.2645,0,32
Louie Dampier*,SAS,PG,0.486333,0.746667,0,517
Mel Daniels*,NYN,C,0.371,0.565,0,39
Adrian Dantley*,BUF,SF,0.519947,0.809105,0.0768421,1382
Johnny Davis,POR,SG,0.44375,0.827917,0.154417,843
Ron Davis,ATL,SF,0.357333,0.467667,0.0833333,139
Randy Denton,ATL,C,0.402,0.702,0,239
Coby Dietrick,SAS,C,0.430429,0.636714,0.0634286,416
Leon Douglas,DET,C,0.525143,0.493429,0,512
Mike Dunleavy,PHI,PG,0.439094,0.777969,0.295063,497
Jim Eakins,KCK,C,0.4875,0.83525,0,191
Len Elmore,IND,C,0.405,0.71775,0,290
Darrell Elston,IND,SG,0.143,0.5,0,5
Alex English*,MIL,SF,0.502765,0.817941,0.189824,1584
Julius Erving*,PHI,SF,0.504727,0.78,0.188455,1669
Butch Feher,PHO,SG,0.531,0.768,0,248
Mike Flynn,IND,SG,0.4425,0.639,0,448
Terry Furlow,PHI,SG,0.44625,0.86325,0.089875,568
Mike Gale,SAS,SG,0.484625,0.815375,0.127875,467
Gus Gerard,TOT,SF,0.412692,0.648769,0.0256154,217
George Gervin*,SAS,SF,0.5098,0.8449,0.1841,2070
Artis Gilmore*,CHI,C,0.593,0.674286,0.0714286,1131
Mike Green,SEA,C,0.463667,0.697333,0,440
Steve Green,IND,SF,0.447333,0.675667,0,235
Paul Griffin,NOJ,PF,0.505,0.685143,0,349
Rudy Hackett,TOT,PF,0.225,0.546,0,9
Phil Hicks,TOT,SF,0.33775,0.573,0,56
Armond Hill,ATL,PG,0.404917,0.79875,0.0208333,311
Darnell Hillman,IND,C,0.473667,0.5805,0,553
Mo Howard,TOT,SG,0.499,0.724667,0,101
Kim Hughes,NYN,C,0.429714,0.335857,0,141
Dan Issel*,DEN,C,0.504556,0.799111,0.192444,1628
Dennis Johnson*,SEA,SG,0.446357,0.800714,0.133357,1109
Bobby Jones,DEN,PF,0.497059,0.677176,0.0866471,551
Caldwell Jones,PHI,C,0.4725,0.745143,0.0380714,470
Rich Jones,NYN,SF,0.385,0.76,0,360
Robin Jones,POR,C,0.5075,0.503,0,185
Wil Jones,IND,PF,0.435,0.725,0,789
George Karl,SAS,PG,0.3375,0.845,0,42
Goo Kennedy,HOU,SF,0.534,0.375,0,65
Larry Kenon,SAS,PF,0.462,0.6742,0.0111,881
Billy Knight,IND,SF,0.498,0.838385,0.231308,929
Mitch Kupchak,WSB,C,0.500667,0.694333,0,578
Bo Lamar,LAL,PG,0.406,0.676,0,502
Ron Lee,PHO,PG,0.3915,0.6726,0.1225,411
Scott Lloyd,MIL,C,0.3577,0.6086,0.05,201
John Lucas,HOU,SG,0.414,0.662409,0.207545,504
Maurice Lucas,POR,PF,0.469857,0.761643,0.103929,947
Moses Malone*,TOT,C,0.448952,0.724952,0.0764286,1356
Scott May,CHI,SF,0.457857,0.802429,0,527
Andre McCarter,KCK,PG,0.280333,0.487,0.0833333,130
Ted McClain,DEN,SG,0.4464,0.7864,0,272
Allen Murphy,LAL,SG,0.2,0.429,0,5
Swen Nater,MIL,C,0.509375,0.783875,0.125,742
Johnny Neumann,TOT,SG,0.414,0.725,0,211
Mark Olberding,SAS,PF,0.488091,0.811909,0.0433636,740
Tom Owens,HOU,C,0.494143,0.745571,0.142857,801
Joe Pace,WSB,C,0.4575,0.5825,0,127
Robert Parish*,GSW,C,0.529714,0.717619,0,1111
Sonny Parker,GSW,SF,0.500333,0.741833,0,745
Billy Paultz,SAS,C,0.461154,0.573231,0,494
Marv Roberts,LAL,SF,0.355,0.667,0,58
Dave Robisch,IND,C,0.422267,0.7576,0,388
Marshall Rogers,GSW,PG,0.371,0.933,0,100
Dan Roundfield,IND,PF,0.479091,0.742182,0.0531818,1028
Phil Sellers,DET,SG,0.384,0.722,0,198
Lonnie Shelton,NYK,PF,0.4823,0.7392,0.0567,804
James Silas,SAS,PG,0.467833,0.843833,0,843
Ralph Simpson,DET,SG,0.391,0.713125,0,346
Al Skinner,NYN,SG,0.441125,0.729875,0,346
Willie Smith,CHI,PG,0.22675,0.36875,0.05975,89
Keith Starr,CHI,SG,0.25,1,0,14
Earl Tatum,LAL,SG,0.44525,0.73625,0.041625,536
Brian Taylor,KCK,PG,0.468667,0.8135,0.1875,677
Fatty Taylor,DEN,PG,0.42,0.569,0,301
Ira Terrell,PHO,SF,0.493,0.63375,0,276
Claude Terry,TOT,SG,0.4705,0.819,0,128
David Thompson*,DEN,SG,0.5025,0.787125,0.13875,1408
Monte Towe,DEN,PG,0.406,0.72,0,130
Dave Twardzik,POR,PG,0.55025,0.81975,0.14275,666
Jan Van,NYN,SF,0.428857,0.812286,0.0857143,370
Andy Walker,NOJ,SF,0.462,0.766,0,180
Wally Walker,POR,SF,0.4674,0.617,0.0583,445
Lloyd Walton,MIL,PG,0.4528,0.7244,0.0666,288
Henry Ward,SAS,SG,0.378,0.882,0,83
Richard Washington,KCK,PF,0.43775,0.68975,0.125,532
Marvin Webster,DEN,C,0.490111,0.642,0.138889,459
Bob Wilkerson,SEA,SF,0.423429,0.749571,0.0675714,774
Chuck Williams,TOT,PG,0.398,0.79225,0,244
Chuckie Williams,CLE,SG,0.298,0.75,0,37
John Williamson,TOT,SG,0.436273,0.826182,0.0990909,901
Willie Wise,DEN,SF,0.231,0.4505,0,308
Larry Wright,WSB,PG,0.3875,0.651833,0.0893333,470
Tate Armstrong,CHI,SG,0.434,0.792,0,175
Greg Ballard,WSB,SF,0.436273,0.801545,0.237909,904
Kent Benson,MIL,C,0.526846,0.737769,0.116077,528
Otis Birdsong,KCK,SG,0.497667,0.57925,0.1995,1045
Phil Bond,HOU,SG,0.333,0,0,4
Jim Bostic,DET,PF,0.545,0.4,0,26
Alonzo Bradley,HOU,SF,0.400667,0.687667,0.333333,146
Mike Bratz,PHO,PG,0.398111,0.818889,0.205556,453
Wayman Britt,DET,SG,0.3,0.75,0,9
Kenny Carr,LAL,PF,0.496214,0.697429,0.0388571,688
Bob Carrington,TOT,SG,0.43075,0.759,0,327
Wesley Cox,GSW,SF,0.415,0.5075,0,171
Charlie Criss,ATL,PG,0.419667,0.821667,0.13425,348
Mark Crow,NJN,SF,0.438,0.7,0,84
Brad Davis,LAL,PG,0.509211,0.795105,0.187684,422
Walter Davis,PHO,SF,0.499294,0.864235,0.234118,1202
Jacky Dorsey,TOT,SF,0.391,0.5762,0,35
T.R. Dunn,POR,SG,0.445786,0.732429,0.0178571,359
James Edwards,TOT,C,0.47956,0.6848,0.02,690
Bo Ellis,DEN,PF,0.440667,0.751,0,204
Al Fleming,SEA,SF,0.484,0.588,0,40
Bayard Forrest,PHO,C,0.45,0.5075,0,284
Mike Glenn,BUF,SG,0.5234,0.8445,0.1564,449
Glen Gondrezick,NYK,SF,0.4715,0.7145,0.0555,424
Rickey Green,GSW,PG,0.460063,0.809812,0.16825,572
Greg Griffin,PHO,SF,0.361,0.639,0,145
Ernie Grunfeld,MIL,SG,0.470444,0.769333,0.171222,569
Joe Hassett,SEA,SG,0.426125,0.744125,0.219,259
Eddie Johnson,ATL,SG,0.465939,0.785424,0.284242,965
Larry Johnson,BUF,SG,0.456182,0.695545,0.276182,1041
Marques Johnson,MIL,SF,0.498818,0.742364,0.140091,1262
Eddie Jordan,TOT,PG,0.396615,0.714308,0.105538,339
Bernard King*,NJN,SF,0.517786,0.718857,0.114214,1403
Toby Knight,NYK,SF,0.5205,0.71025,0,910
John Kuester,KCK,PG,0.372,0.824,0,150
Tom LaGarde,DEN,C,0.3855,0.614,0,396
Mark Landsberger,CHI,PF,0.471444,0.523667,0,342
Rich Laurel,MIL,SG,0.323,1,0,24
Ricky Marsh,GSW,SG,0.426,0.697,0,269
Cedric Maxwell,BOS,SF,0.536231,0.781077,0.0128462,867
Larry Moffett,HOU,SF,0.294,0.6,0,16
Glenn Mosley,PHI,PF,0.399,0.517,0,49
Norm Nixon,LAL,PG,0.4778,0.7685,0.1737,1206
Eddie Owens,BUF,SF,0.429,0.5,0,21
Ben Poquette,DET,PF,0.482917,0.780917,0.131333,421
Robert Reid,HOU,SF,0.427867,0.654733,0.172467,724
Anthony Roberts,DEN,SF,0.3954,0.688,0,331
Tony Robertson,ATL,SG,0.408,0.6825,0,204
Tree Rollins,ATL,C,0.500278,0.704722,0,347
Alvin Scott,PHO,SF,0.473875,0.7385,0.15,386
Steve Sheppard,CHI,SF,0.46975,0.6035,0,114
Jack Sikma,SEA,C,0.461429,0.848929,0.1165,1234
Scott Sims,SAS,PG,0.385,0.667,0,30
Robert Smith,DEN,PG,0.378455,0.899818,0.0741818,134
Phil Walker,WSB,SG,0.354,0.667,0,178
Wilson Washington,TOT,PF,0.475,0.55875,0,240
Ray Williams,NYK,PG,0.420692,0.817154,0.202077,808
Kim Anderson,POR,SF,0.312,0.536,0,63
Del Beshore,MIL,PG,0.176,0.3335,0.1925,122
Dennis Boyd,DET,PG,0.25,0,0,6
Winford Boynes,NJN,SG,0.43,0.79,0,492
Ron Brewer,POR,SG,0.4451,0.84315,0.16745,478
Greg Bunch,NYK,SF,0.346,0.833,0,28
Marty Byrnes,TOT,SF,0.473167,0.7345,0.1135,329
Ron Carter,LAL,SG,0.42,0.4765,0,88
Maurice Cheeks,PHI,PG,0.522294,0.794824,0.241941,763
Michael Cooper,LAL,SG,0.469083,0.765833,0.26725,644
Wayne Cooper,GSW,C,0.449429,0.721714,0.0990714,555
Dave Corzine,WSB,C,0.472615,0.674385,0.0918462,585
Geoff Crompton,DEN,C,0.3532,0.44,0,19
Harry Davis,CLE,SF,0.4655,0.599,0,87
Bob Elliott,NJN,PF,0.505333,0.671667,0.25,326
Ray Epps,GSW,SF,0.435,0.75,0,26
Phil Ford,KCK,PG,0.462778,0.810333,0.118667,679
Jack Givens,ATL,SF,0.4,0.792,0,520
Tommie Green,NOJ,PG,0.388,0.762,0,232
Lars Hansen,SEA,C,0.509,0.581,0,76
James Hardy,NOJ,SF,0.48,0.676,0.125,352
Keith Herron,ATL,SG,0.371,0.884,0.0606667,406
Kenny Higgs,CLE,PG,0.442667,0.799,0.102667,490
Essie Hollis,DET,SF,0.4,0.75,0,69
Otis Howard,TOT,PF,0.435333,0.318667,0,39
Clemon Johnson,POR,C,0.4915,0.624667,0,400
Jeff Judkins,BOS,SF,0.4518,0.7922,0.2156,296
Joel Kramer,PHO,PF,0.4644,0.7726,0,251
Butch Lee,TOT,PG,0.352,0.648333,0,257
John Long,DET,SG,0.453437,0.871125,0.247625,781
Billy McKinney,KCK,PG,0.486667,0.854556,0.0963333,515
Mike Mitchell,CLE,SF,0.49175,0.771417,0.153333,1395
John Olive,SDC,SF,0.1625,0.3915,0,22
Roger Phegley,WSB,SG,0.435417,0.866667,0.334917,373
Stan Pietkiewicz,SDC,SG,0.372,0.6752,0.2084,104
Wayne Radford,IND,SG,0.474,0.8,0,202
Marlon Redmond,TOT,SG,0.341,0.4865,0,214
Micheal Ray,NYK,PG,0.4468,0.6774,0.1785,905
Rick Robey,TOT,C,0.4604,0.6588,0.1,454
Jackie Robinson,SEA,SF,0.441667,0.783667,0,27
John Rudd,NYK,SF,0.444,0.71,0,184
Frankie Sanders,TOT,SF,0.43125,0.8245,0,154
Purvis Short,GSW,PF,0.472917,0.818417,0.217833,1217
Sam Smith,MIL,SF,0.413,0.8275,0.1145,157
Reggie Theus,CHI,PG,0.462133,0.816733,0.210467,1317
Mychal Thompson,POR,C,0.497571,0.670857,0.107143,982
Raymond Townsend,GSW,SG,0.371,0.666333,0.125333,248
Terry Tyler,DET,PF,0.481636,0.708909,0.117364,806
Andre Wakefield,TOT,SG,0.2755,0.598,0,89
Jerome Whitehead,SDC,C,0.468556,0.546056,0,273
Freeman Williams,SDC,SG,0.430625,0.800125,0.2845,682
Rick Wilson,ATL,SG,0.277,0.606,0,97
James Bailey,SEA,PF,0.482692,0.697154,0.0384615,530
Billy Ray,POR,SG,0.394667,0.643167,0.2955,386
Larry Bird*,BOS,PF,0.491154,0.891385,0.324077,1676
Lawrence Boston,WSB,PF,0.462,0.615,0,56
Dudley Bradley,IND,SG,0.386364,0.646818,0.253182,323
Bill Cartwright,NYK,C,0.501933,0.7338,0,847
Jeff Cook,PHO,PF,0.452643,0.742143,0.0357143,251
Hollis Copeland,NYK,SF,0.458,0.783,0,232
John Coughran,GSW,SF,0.358,0.571,0.222,68
Terry Crosby,KCK,PG,0.5,1,0,6
Pat Cummings,MIL,C,0.507417,0.720667,0,544
Paul Dawkins,UTA,SF,0.47,0.688,0.2,316
Greg Deane,UTA,SG,0.182,0.714,1,10
Larry Demic,NYK,PF,0.47,0.53,0,325
Terry Duerod,DET,SG,0.4505,0.561167,0.286,201
Earl Evans,DET,PF,0.45,0.571,0.389,157
Mike Evans,SAS,SG,0.439,0.759727,0.189455,419
Gary Garland,DEN,PG,0.435,0.692,0.316,334
Dave Greenwood,CHI,PF,0.465143,0.739857,0.0459286,635
Roy Hamilton,DET,PG,0.367,0.5935,0,168
Gerald Henderson,BOS,PG,0.442069,0.806069,0.304517,528
Johnny High,PHO,PG,0.42,0.54375,0.1065,349
Brad Holland,LAL,SG,0.3124,0.5804,0.1066,70
Phil Hubbard,DET,PF,0.487667,0.698417,0.02775,672
Geoff Huston,NYK,PG,0.4776,0.6998,0.2274,545
Abdul Jeelani,POR,SF,0.4675,0.8015,0,645
Cheese Johnson,GSW,SF,0.4,0.6,0,27
Magic Johnson*,LAL,SG,0.518846,0.839846,0.233538,1362
Vinnie Johnson,SEA,SG,0.457467,0.738333,0.208333,824
Major Jones,HOU,PF,0.503667,0.592,0.0555,273
Greg Kelser,DET,SF,0.45375,0.6775,0.066625,412
Irv Kiffin,SAS,SF,0.333,0.72,0,82
Carl Kilpatrick,UTA,C,0.5,0.5,0,3
Reggie King,KCK,PF,0.4955,0.705,0,649
Arvid Kramer,DEN,C,0.318,1,0,16
Allen Leavell,HOU,PG,0.4411,0.823,0.2189,668
Ollie Mack,TOT,SG,0.405857,0.665143,0,255
Steve Malovic,TOT,PF,0.33275,0.60225,0,40
Paul Mokeski,HOU,C,0.430875,0.728563,0.0584375,204
Sidney Moncrief,MIL,SG,0.498364,0.827273,0.213909,1084
Calvin Natt,TOT,SF,0.4964,0.768333,0.158933,799
Sylvester Norris,SAS,C,0.419,0.667,0,40
Wiley Peck,SAS,SF,0.432,0.618,0,180
Sam Pellom,ATL,PF,0.409667,0.361667,0,145
Clint Richardson,PHI,SG,0.462875,0.759875,0.26625,510
Cliff Robinson,NJN,PF,0.462077,0.733154,0.196538,929
Jim Spanarkel,PHI,SG,0.4634,0.8084,0.2266,501
Bernard Toone,PHI,PF,0.359,0.8,0.143,55
Duck Williams,UTA,PG,0.447,0.7,0,506
Sly Williams,NYK,SF,0.414143,0.682714,0.136429,475
Bubba Wilson,GSW,SG,0.28,0.5,0,17
Tony Zeno,IND,SF,0.286,1,0,14
Darrell Allums,DAL,PF,0.343,0.591,0,59
Norman Black,DET,SG,0.3,0.25,0,8
Dave Britton,WSB,PG,0.667,0,0,4
Michael Brooks,SDC,SF,0.450833,0.7165,0.0555,681
Lewis Brown,WSB,C,0,0.4,0,2
Rickey Brown,GSW,C,0.468143,0.662571,0,268
Joe Barry,GSW,C,0.446071,0.768714,0,1013
Butch Carter,LAL,SF,0.401875,0.82975,0.191875,394
Reggie Carter,NYK,SG,0.3775,0.7695,0,235
Art Collins,ATL,SG,0.354,0.667,0,94
Don Collins,TOT,SF,0.446,0.760875,0.035375,489
Darwin Cook,NJN,SG,0.4521,0.7809,0.1887,632
Earl Cureton,PHI,C,0.4375,0.4675,0,299
Monti Davis,TOT,PF,0.4,0.133333,0,2
James Donaldson,SEA,C,0.5425,0.738389,0,511
Larry Drew,DET,PG,0.448091,0.780818,0.268909,741
Ralph Drollinger,DAL,C,0.5,0.25,0,15
John Duren,UTA,PG,0.410333,0.694,0.091,237
Tony Fuller,DET,SG,0.364,0.75,0,60
Calvin Garrett,HOU,SF,0.441,0.80725,0.2415,213
Mike Gminski,NJN,C,0.4402,0.82735,0.0472,662
Darrell Griffith,UTA,SG,0.4553,0.7047,0.3128,1239
Bill Hanzlik,SEA,SF,0.4354,0.7808,0.1712,541
Alan Hardy,LAL,SG,0.4145,0.6605,0,96
Mike Harper,POR,PF,0.4545,0.531,0,306
Cedrick Hordges,DEN,PF,0.4765,0.641,0.1155,549
Tony Jackson,LAL,PG,0.333,0,0,2
Lee Johnson,TOT,PF,0.194667,0.4,0,11
Reggie Johnson,SAS,PF,0.504111,0.738444,0.0555556,441
Edgar Jones,NJN,PF,0.4991,0.7183,0.1675,427
Walter Jordan,CLE,SF,0.387,0.588,0,68
Clarence Kea,DAL,PF,0.494,0.692,0,99
Chad Kinch,TOT,SG,0.358667,0.782333,0,78
Wayne Kreklow,BOS,SG,0.234,0.7,0.25,30
Bill Laimbeer,CLE,C,0.49775,0.835312,0.269813,906
Edmund Lawrence,DET,C,0.625,0.5,0,12
Ronnie Lester,CHI,PG,0.450167,0.795833,0.116667,302
Kyle Macy,PHO,PG,0.498857,0.864286,0.320429,751
Rick Mahorn,WSB,PF,0.467111,0.692889,0.0771111,431
Wes Matthews,TOT,PG,0.466462,0.791923,0.171692,367
Bill Mayfield,GSW,SF,0.444,0.5,0,17
Keith McCord,WSB,SG,0.5,0,0,4
Kevin McHale*,BOS,PF,0.548385,0.791308,0.0909231,1333
Dick Miller,TOT,SF,0.481333,0,0,5
Johnny Moore,SAS,PG,0.406091,0.510909,0.147818,445
Lowes Moore,NJN,PG,0.456667,0.75,0.203,250
Kenny Natt,IND,SG,0.3158,0.4558,0.05,31
Carl Nicks,TOT,PG,0.464,0.5814,0,296
Mike Niles,PHO,SF,0.348,0.459,0.5,115
Mike O'Koren,NJN,SF,0.4875,0.485625,0.208375,419
Jawann Oldham,DEN,C,0.4665,0.46,0,122
Louis Orr,IND,SF,0.44825,0.752625,0.053125,693
Myles Patrick,LAL,SF,0.4,0.5,0,5
Tony Price,SDC,SG,0.286,0,0,4
Wally Rank,SDC,SF,0.368,0.464,0,55
Kelvin Ransey,POR,PG,0.453667,0.7905,0.137833,896
James Ray,DEN,PF,0.401333,0.643333,0.333333,111
Billy Reid,GSW,SG,0.454,0.564,0,190
Wayne Robinson,DET,PF,0.46,0.729,0,643
Lorenzo Romar,GSW,PG,0.362556,0.687111,0.120222,237
DeWayne Scales,NYK,PF,0.406,0.389,0.0556667,74
Craig Shelton,ATL,SF,0.395,0.5515,0,120
Jerry Sichting,IND,PG,0.451429,0.817929,0.249357,319
Larry Smith,GSW,PF,0.520846,0.461692,0,454
Rory Sparrow,NJN,PG,0.416833,0.672944,0.2105,493
John Stroud,HOU,SF,0.324,0.75,0,25
Carlos Terry,WSB,SG,0.356,0.694667,0,95
Andrew Toney,PHI,SG,0.464375,0.74,0.296375,932
Ronnie Valentine,DEN,SF,0.378,0.474,0.5,84
Kiki Vandeweghe,DEN,SF,0.498933,0.874467,0.3186,1098
Brett Vroman,UTA,C,0.37,0.737,0,34
Hawkeye Whitney,KCK,SG,0.4195,0.67,0.1665,202
Michael Wiley,SAS,PF,0.558,0.7225,0,346
James Wilkes,CHI,SF,0.422333,0.738333,0,182
Jeff Wilkins,UTA,C,0.438375,0.700375,0,490
Mike Woodson,NYK,SG,0.433733,0.813467,0.2056,823
Sam Worthen,CHI,PG,0.4475,0.375,0,119
Mark Aguirre,DAL,SF,0.4758,0.734867,0.305333,1331
Danny Ainge,BOS,SG,0.461438,0.843563,0.3485,827
Carl Bailey,POR,C,1,0,0,2
Gene Banks,SAS,SF,0.5395,0.7315,0.0833333,884
Rolando Blackman,DAL,SG,0.487462,0.841308,0.268077,1355
Ray Blume,CHI,SG,0.459,0.643,0.222,226
Alex Bradley,NYK,SF,0.524,0.604,0,137
Charles Bradley,BOS,SG,0.424,0.634,0,115
Brad Branson,CLE,PF,0.4145,0.8105,0,195
Jim Brogan,SDC,SG,0.44,0.7585,0.256,309
Roger Burkman,CHI,SG,0,0.833,0,5
David Burns,TOT,PG,0.431,0.589,0,15
